"201317","STATEN ISLAND","175","0"
"201318",,"893","1"
"201318","BRONX","369","0"
"201318","BROOKLYN","979","0"
"201318","MANHATTAN","854","1"
"201318","QUEENS","789","1"
"201318","STATEN ISLAND","231","0"
"201319",,"945","1"
"201319","BRONX","388","1"
"201319","BROOKLYN","1018","1"
"201319","MANHATTAN","849","0"
"201319","QUEENS","725","1"
"201319","STATEN ISLAND","198","0"
"201320",,"901","1"
"201320","BRONX","426","2"
"201320","BROOKLYN","879","1"
"201320","MANHATTAN","839","0"
"201320","QUEENS","792","2"
"201320","STATEN ISLAND","185","0"
"201321",,"941","1"
"201321","BRONX","403","1"
"201321","BROOKLYN","989","0"
"201321","MANHATTAN","923","0"
"201321","QUEENS","834","0"
"201321","STATEN ISLAND","206","0"
"201322",,"942","0"
"201322","BRONX","433","0"
"201322","BROOKLYN","999","2"
"201322","MANHATTAN","829","1"
"201322","QUEENS","798","1"
"201322","STATEN ISLAND","218","0"
"201323",,"1038","0"
"201323","BRONX","451","0"
"201323","BROOKLYN","1023","0"
"201323","MANHATTAN","874","3"
"201323","QUEENS","830","0"
"201323","STATEN ISLAND","202","0"
"201324",,"940","3"
"201324","BRONX","419","3"
"201324","BROOKLYN","982","3"
"201324","MANHATTAN","872","0"
"201324","QUEENS","764","1"
"201324","STATEN ISLAND","196","0"
"201325",,"994","3"
"201325","BRONX","375","0"
"201325","BROOKLYN","1084","0"
"201325","MANHATTAN","871","0"
"201325","QUEENS","768","0"
"201325","STATEN ISLAND","231","0"
"201326",,"933","3"
"201326","BRONX","393","1"
"201326","BROOKLYN","955","0"
"201326","MANHATTAN","909","1"
"201326","QUEENS","772","0"
"201326","STATEN ISLAND","206","0"
"201327",,"937","2"
"201327","BRONX","422","0"
"201327","BROOKLYN","939","2"
"201327","MANHATTAN","715","1"
"201327","QUEENS","736","1"
"201327","STATEN ISLAND","122","0"
"201328",,"996","0"
"201328","BRONX","404","1"
"201328","BROOKLYN","901","1"
"201328","MANHATTAN","823","0"
"201328","QUEENS","746","1"
"201328","STATEN ISLAND","137","0"
"201329",,"1014","1"
"201329","BRONX","389","0"
"201329","BROOKLYN","921","0"
"201329","MANHATTAN","827","0"
"201329","QUEENS","838","1"
"201329","STATEN ISLAND","114","0"
"201330",,"920","1"
"201330","BRONX","355","1"
"201330","BROOKLYN","851","3"
"201330","MANHATTAN","857","1"
"201330","QUEENS","775","3"
"201330","STATEN ISLAND","99","0"
"201331",,"944","1"
"201331","BRONX","411","0"
"201331","BROOKLYN","884","0"
"201331","MANHATTAN","849","3"
"201331","QUEENS","738","3"
"201331","STATEN ISLAND","120","0"
"201332",,"892","2"
"201332","BRONX","359","0"
"201332","BROOKLYN","849","2"
"201332","MANHATTAN","754","0"
"201332","QUEENS","725","2"
"201332","STATEN ISLAND","119","1"
"201333",,"995","2"
"201333","BRONX","364","0"
"201333","BROOKLYN","877","4"
"201333","MANHATTAN","857","1"
"201333","QUEENS","701","3"
"201333","STATEN ISLAND","122","0"
"201334",,"886","3"
"201334","BRONX","372","0"
"201334","BROOKLYN","887","2"
"201334","MANHATTAN","796","2"
"201334","QUEENS","701","1"
"201334","STATEN ISLAND","121","0"
"201335",,"912","1"
"201335","BRONX","330","2"
"201335","BROOKLYN","913","2"
"201335","MANHATTAN","744","0"
"201335","QUEENS","645","0"
"201335","STATEN ISLAND","96","0"
"201336",,"931","1"
"201336","BRONX","353","1"
"201336","BROOKLYN","847","0"
"201336","MANHATTAN","765","1"
"201336","QUEENS","686","2"
"201336","STATEN ISLAND","105","0"
"201337",,"962","3"
"201337","BRONX","396","0"
"201337","BROOKLYN","982","1"
"201337","MANHATTAN","913","0"
"201337","QUEENS","791","3"
"201337","STATEN ISLAND","133","0"
"201338",,"974","0"
"201338","BRONX","412","1"
"201338","BROOKLYN","883","2"
"201338","MANHATTAN","857","0"
"201338","QUEENS","808","2"
"201338","STATEN ISLAND","131","0"
"201339",,"958","4"
"201339","BRONX","398","0"
"201339","BROOKLYN","816","1"
"201339","MANHATTAN","829","0"
"201339","QUEENS","777","3"
"201339","STATEN ISLAND","158","0"
"201340",,"954","2"
"201340","BRONX","372","1"
"201340","BROOKLYN","924","0"
"201340","MANHATTAN","840","0"
"201340","QUEENS","787","2"
